Algorithm: Betweenness Centrality
Test Case: 100

Vertex Centrality
0 0.00
1 68.00
2 134.00
3 198.00
4 260.00
5 320.00
6 378.00
7 434.00
8 488.00
9 540.00
10 590.00
11 638.00
12 684.00
13 728.00
14 770.00
15 810.00
16 848.00
17 884.00
18 918.00
19 950.00
20 980.00
21 1008.00
22 1034.00
23 1058.00
24 1080.00
25 1100.00
26 1118.00
27 1134.00
28 1148.00
29 1160.00
30 1170.00
31 1178.00
32 1184.00
33 1188.00
34 1190.00
35 1190.00
36 1188.00
37 1184.00
38 1178.00
39 1170.00
40 1160.00
41 1148.00
42 1134.00
43 1118.00
44 1100.00
45 1080.00
46 1058.00
47 1034.00
48 1008.00
49 980.00
50 950.00
51 918.00
52 884.00
53 848.00
54 810.00
55 770.00
56 728.00
57 684.00
58 638.00
59 590.00
60 540.00
61 488.00
62 434.00
63 378.00
64 320.00
65 260.00
66 198.00
67 134.00
68 68.00
69 0.00
70 0.00
71 0.00
72 0.00
73 0.00
74 0.00
75 0.00
76 0.00
77 0.00
78 0.00
79 0.00
80 0.00
81 0.00
82 0.00
83 0.00
84 0.00
85 0.00
86 0.00
87 0.00
88 0.00
89 0.00
90 0.00
91 0.00
92 0.00
93 0.00
94 0.00
95 0.00
96 0.00
97 0.00
98 0.00
99 0.00

Execution Time: 4.000000 ms
